"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.037884670E0,2.531533003E0,-4.529603004E0,-1.051906395E1,1.172930813E1
2.055988186E0,1.790545464E0,-4.006847858E0,-1.230385494E1,1.306314393E1
2.074092616E0,1.107392073E0,-4.067014694E0,-1.427281570E1,1.488221065E1
2.092183070E0,1.585993528E0,-4.166899204E0,-1.416477394E1,1.484989041E1
2.110293544E0,2.391602993E0,-4.699199677E0,-1.221188927E1,1.330159697E1
2.128401454E0,2.560851336E0,-6.017792702E0,-9.647963524E0,1.165568482E1
2.146506312E0,2.627723217E0,-6.701487541E0,-7.643677235E0,1.049955553E1
2.164607265E0,2.837959051E0,-6.333085060E0,-7.809846878E0,1.044775987E1
2.182713283E0,2.813509941E0,-5.521032810E0,-9.314627647E0,1.118748987E1
2.200815518E0,2.411087513E0,-5.124665737E0,-1.117707729E1,1.253006779E1
2.218916897E0,1.806063533E0,-5.257289886E0,-1.186357403E1,1.310134921E1
2.237010035E0,1.511688709E0,-5.502649307E0,-1.186762047E1,1.316832441E1
2.255127163E0,2.019592762E0,-4.938374519E0,-1.123852539E1,1.244068932E1
2.273229153E0,2.573452950E0,-4.325116634E0,-1.017046642E1,1.134758482E1
2.291322108E0,2.605242491E0,-4.010153770E0,-9.679908752E0,1.079672428E1
2.309432278E0,2.323151112E0,-3.977294445E0,-9.223660469E0,1.030979217E1
2.327543850E0,1.908578873E0,-4.074803352E0,-8.243651390E0,9.391724225E0
2.345643215E0,9.587406516E-1,-4.448697090E0,-5.976349831E0,7.511780530E0
2.363747645E0,6.530028582E-1,-3.737549305E0,-2.364767075E0,4.470772960E0
2.381850062E0,4.543390274E-1,-1.008226156E0,1.562387466E0,1.914157394E0
2.399953456E0,-3.986327648E-1,4.026811600E0,1.286820412E0,4.246177871E0
2.418056971E0,2.389318705E0,8.977375031E0,4.592830658E0,1.036321378E1
2.436160549E0,6.985605240E0,5.976737976E0,1.791046524E1,2.013218425E1
2.454263576E0,8.045765877E0,-3.521321297E0,3.469448471E1,3.578884353E1
2.472367030E0,7.320412159E0,-5.986045837E0,3.747358704E1,3.864829756E1
2.490464320E0,6.211963177E0,-2.890234947E0,2.697310066E1,2.782966230E1
2.508573024E0,4.521187782E0,2.827894688E-1,1.508450508E1,1.575002865E1
2.526680079E0,2.953404427E0,1.380219698E0,7.344205856E0,8.035232653E0
2.544780970E0,1.724627256E0,9.661097527E-1,3.176303864E0,3.741204814E0
2.562879481E0,2.059621811E0,1.283740520E0,8.322591782E-1,2.565674778E0
2.580988978E0,3.540477753E0,2.591438293E0,-1.145587921E0,4.534634145E0
2.599090999E0,3.798088551E0,2.900078297E0,-3.281403065E0,5.796855772E0
2.617190030E0,3.089878082E0,1.485527277E0,-4.539819717E0,5.688945502E0
2.635298031E0,2.502798080E0,9.392118454E-2,-4.796609402E0,5.411125684E0
2.653401516E0,1.976908326E0,-8.412065506E-1,-5.862592697E0,6.243860034E0
2.671504788E0,1.533804059E0,-1.009758830E0,-7.556326866E0,7.776261537E0
2.689603665E0,1.252752423E0,-5.141228437E-1,-8.926764488E0,9.028888922E0
2.707711788E0,1.257200718E0,2.158842087E-1,-9.335086823E0,9.421836637E0
2.725815091E0,1.107775450E0,6.506350040E-1,-9.430601120E0,9.517706123E0
2.743917751E0,1.159106016E0,7.572264671E-1,-9.133337021E0,9.237681734E0
2.762022152E0,1.311875105E0,6.611949205E-1,-7.919045448E0,8.054158915E0
2.780126186E0,1.557991743E0,7.756788731E-1,-6.003841400E0,6.251010122E0
2.798228909E0,1.860353947E0,1.113541126E0,-4.175645351E0,4.704987221E0
2.816332394E0,1.718062758E0,7.404695749E-1,-6.837444305E-1,1.991868791E0
2.834435940E0,4.415639639E-1,-4.814210534E-1,3.089221001E0,3.157535646E0
2.852539181E0,-1.066339493E0,-1.076551795E0,5.306273460E0,5.518385789E0
2.870642757E0,-1.056734562E0,-8.449372053E-1,8.959759712E0,9.061341011E0
2.888738156E0,3.456431627E-1,-7.828719020E-1,1.419893360E1,1.422469940E1
2.906849483E0,1.903509140E0,-2.831501961E0,1.831387711E1,1.862897864E1
2.924953030E0,3.018762112E0,-5.102033615E0,2.008793640E1,2.094442314E1
2.943056820E0,5.634369850E0,-3.907876492E0,2.192034912E1,2.296778892E1
2.961159756E0,7.920148849E0,-1.908214331E0,2.398038483E1,2.532644658E1
2.979263333E0,7.942081928E0,-4.537937641E-1,2.345536423E1,2.476765441E1
2.997365169E0,5.158072948E0,-3.968012333E-1,1.997982025E1,2.063871084E1
3.015472042E0,1.952569723E0,-9.963321686E-2,1.425356388E1,1.438702675E1
3.033573605E0,6.955888271E-1,7.380850315E-1,8.405048370E0,8.466017448E0
3.051677151E0,1.384361029E0,1.589034081E0,3.333396912E0,3.943731702E0
3.069775784E0,3.842680454E0,2.715878248E0,3.556127548E-1,4.718966853E0
3.087883663E0,6.389511585E0,2.917110920E0,-1.654494286E0,7.216144799E0
3.105987423E0,6.141635895E0,2.843289375E-1,-4.752406120E0,7.770836399E0
3.124090358E0,4.260256767E0,-2.787946701E0,-8.926353455E0,1.027629410E1
3.142195248E0,2.439239740E0,-4.571088791E0,-1.255125427E1,1.357861285E1
3.160297360E0,2.225864172E0,-4.837845802E0,-1.392635822E1,1.490981813E1
3.178389798E0,3.294955492E0,-4.821109295E0,-1.386473465E1,1.504429106E1
3.196504544E0,4.044701099E0,-5.108543873E0,-1.337386894E1,1.487673344E1
3.214608028E0,3.903430939E0,-5.845390320E0,-1.271183681E1,1.452570674E1
3.232700374E0,3.241166830E0,-6.471584797E0,-1.163780785E1,1.370493136E1
3.250813320E0,3.013720512E0,-6.498711586E0,-1.165348721E1,1.367916400E1
3.268919887E0,2.474005461E0,-6.587008476E0,-1.204590034E1,1.395037988E1
3.287021542E0,1.954731703E0,-6.509725571E0,-1.299975967E1,1.466939858E1
3.305124569E0,1.858265162E0,-5.842330456E0,-1.452901649E1,1.576953693E1
3.323228634E0,2.558638096E0,-4.847617149E0,-1.425172806E1,1.526950469E1
3.341332759E0,3.120482922E0,-4.232007027E0,-1.288265324E1,1.391438290E1
3.359435696E0,2.854900360E0,-4.433201790E0,-1.161850452E1,1.275905097E1
3.377527737E0,2.197954655E0,-4.787446976E0,-1.073178387E1,1.195499219E1
