"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.867914584E-1,3.176556621E0,-2.595711760E0,-2.929104209E-1,4.112666778E0
8.967224583E-1,3.445209283E0,-3.300017656E0,-3.766694462E-1,4.785547347E0
9.066524584E-1,3.392157496E0,-3.887529513E0,-3.812899160E-1,5.173490136E0
9.165834583E-1,3.252581242E0,-4.057128003E0,-7.497007549E-2,5.200499291E0
9.265144584E-1,3.019496316E0,-4.123007997E0,-7.068699002E-2,5.110924534E0
9.364454583E-1,2.737548839E0,-4.154095011E0,-2.930998707E-1,4.983631863E0
9.463754584E-1,2.676871113E0,-4.197250094E0,-5.851478273E-1,5.012478956E0
9.563064583E-1,2.783835106E0,-4.272840851E0,-1.023059256E0,5.201303402E0
9.662374583E-1,2.922379911E0,-4.439353473E0,-1.602683219E0,5.551284275E0
9.761674583E-1,2.937493794E0,-4.747614882E0,-2.202966564E0,6.001814604E0
9.860984583E-1,2.720722599E0,-4.899367085E0,-2.657191724E0,6.202160684E0
9.960294584E-1,2.205891195E0,-4.932707031E0,-2.960608422E0,6.161392444E0
1.005959458E0,1.557533066E0,-4.964669666E0,-3.044933458E0,6.028720752E0
1.015890458E0,8.940935062E-1,-4.924259559E0,-3.177139589E0,5.928064724E0
1.025821458E0,3.592910828E-1,-4.960350328E0,-3.683065830E0,6.188629846E0
1.035751458E0,5.575472152E-1,-4.385955530E0,-3.830648968E0,5.849900540E0
1.045682458E0,7.889320636E-1,-3.588912794E0,-4.052927948E0,5.470734301E0
1.055613458E0,6.540689582E-1,-2.796427670E0,-4.297829804E0,5.169057452E0
1.065543458E0,-4.979401141E-2,-1.923292777E0,-4.589519911E0,4.976467378E0
1.075474458E0,-4.184831777E-1,-1.809297069E0,-4.593411233E0,4.954605011E0
1.085405458E0,-4.416469225E-1,-2.269069775E0,-4.525011674E0,5.081285300E0
1.095336458E0,-4.640986226E-1,-2.570557038E0,-4.192681080E0,4.939810285E0
1.105266458E0,-3.720957541E-1,-3.210718394E0,-2.759478237E0,4.249927999E0
1.115197458E0,-2.428129390E-2,-4.380863190E0,-9.554976028E-1,4.483918771E0
1.125128458E0,-1.852243114E0,-3.559554217E0,-2.542236634E0,4.750178720E0
1.135058458E0,-3.082876333E0,-2.058692365E0,-2.473149442E0,4.456322351E0
1.144989458E0,-3.211671198E0,-1.366265672E0,-1.158212968E0,3.677359249E0
1.154920458E0,-2.944445549E0,-1.597109945E0,-5.267259568E-1,3.390864197E0
1.164850458E0,-2.270647354E0,-2.007540045E0,5.562391931E-1,3.081470181E0
1.174781458E0,-1.582225273E0,-2.117716498E0,1.426611276E0,3.003894092E0
1.184712458E0,-7.741457708E-1,-2.010993557E0,2.563545642E0,3.348904749E0
1.194642458E0,-1.034027682E0,-1.299723188E0,2.793331277E0,3.249798953E0
1.204573458E0,-1.350742630E0,-5.245227259E-1,3.633983717E0,3.912220264E0
1.214504458E0,-1.840663142E0,-8.645848015E-1,4.835053852E0,5.245311567E0
1.224434458E0,-2.443674213E0,-1.012994736E0,5.769761680E0,6.347271212E0
1.234365458E0,-2.532050784E0,-4.162243983E-1,6.664799073E0,7.141713422E0
1.244296458E0,-2.106658390E0,2.775433534E-1,7.432525039E0,7.730295489E0
1.254230542E0,-1.495419410E0,3.506154227E-1,7.852387283E0,8.001199687E0
1.264161542E0,-1.406235922E0,-2.041631359E-1,7.937001756E0,8.063199050E0
1.274092542E0,-1.178941932E0,-3.969911519E-1,7.512057697E0,7.614362541E0
1.284023542E0,-8.193307145E-1,-3.216936323E-1,6.859085092E0,6.915333536E0
1.293953542E0,-2.859605666E-1,-3.449591187E-1,6.060753044E0,6.077293617E0
1.303884542E0,3.274772595E-1,-3.231156752E-1,5.359739131E0,5.379446872E0
1.313815542E0,1.479934082E0,-3.045384863E-1,4.884670985E0,5.113018601E0
1.323745542E0,2.964783042E0,-6.911905915E-2,3.851263327E0,4.860755614E0
1.333676542E0,3.469600359E0,1.876140538E-1,2.745204599E0,4.428258571E0
1.343607542E0,3.173148572E0,7.769958499E-1,2.486006300E0,4.105218841E0
1.353537542E0,2.449549787E0,1.754469628E0,2.173732824E0,3.715315899E0
1.363468542E0,1.792394230E0,1.117341808E0,1.140008247E0,2.400155952E0
1.373399542E0,9.871241690E-1,-3.143027517E-1,9.531417596E-1,1.407721407E0
1.383329542E0,5.315807538E-1,-7.259867871E-1,3.308518338E-1,9.586959105E-1
1.393260542E0,1.389536713E-1,-6.397312930E-1,-1.100030833E-1,6.638259775E-1
1.403191542E0,-6.010320809E-1,-1.341927221E-1,1.896076620E-1,6.443588398E-1
1.413121542E0,-1.334822854E0,2.391873729E-1,6.011580884E-1,1.483358925E0
1.423052542E0,-2.110395346E0,4.036867985E-1,9.071920002E-1,2.332322635E0
1.432983542E0,-3.101725709E0,9.089163440E-1,1.275509868E0,3.474731172E0
1.442913542E0,-3.867365682E0,2.124424717E0,1.371534598E0,4.620693113E0
1.452844542E0,-4.171601575E0,3.657346559E0,1.442337947E0,5.732258046E0
1.462775542E0,-4.086242751E0,4.715979398E0,1.620993190E0,6.447128076E0
1.472706542E0,-3.461097922E0,5.304063697E0,1.534209400E0,6.516601033E0
1.482636542E0,-2.706766757E0,5.776560237E0,1.510456840E0,6.555662768E0
1.492567542E0,-2.009395659E0,6.289645225E0,1.546391489E0,6.781492063E0
1.502498542E0,-9.744519371E-1,6.895547744E0,1.540701563E0,7.132453756E0
1.512428542E0,-1.310662159E-1,7.373742396E0,1.557987687E0,7.537677421E0
1.522359542E0,6.147312301E-1,7.491615247E0,1.610719047E0,7.687431908E0
1.532290542E0,1.479542904E0,7.371965427E0,1.805807889E0,7.732778517E0
1.542220542E0,2.490143790E0,7.208961427E0,2.383546709E0,7.990696832E0
1.552151542E0,3.335655851E0,6.812767543E0,3.229810138E0,8.244517880E0
1.562082542E0,3.814191103E0,5.735864786E0,3.416674286E0,7.689074183E0
1.572012542E0,4.151419033E0,4.430290289E0,3.263165579E0,6.892749932E0
1.581943542E0,4.425294720E0,3.334096983E0,3.107572925E0,6.352672315E0
1.591874542E0,4.517272884E0,2.229471700E0,2.740042677E0,5.734468785E0
1.601804542E0,4.718595150E0,1.250716797E0,2.347061838E0,5.416468589E0
1.611735542E0,4.781545689E0,7.602239889E-1,2.355397629E0,5.384145028E0
1.621666542E0,4.243231721E0,2.391286084E-1,2.171347745E0,4.772520189E0
1.631596542E0,3.165656534E0,-1.217107586E0,1.389310133E0,3.665094107E0
1.641527542E0,2.890842076E0,-3.532701463E0,3.068455052E-1,4.575052098E0
1.651458542E0,3.036362025E0,-4.386368051E0,3.551464301E-1,5.346573483E0
1.661388542E0,2.435907356E0,-4.366718483E0,-1.023625267E0,5.103889071E0
1.671319542E0,1.422744805E0,-4.488152288E0,-5.738685483E-1,4.743104348E0
1.681250542E0,-1.467671594E-1,-5.111052371E0,-6.157919151E-1,5.150106467E0
1.691181542E0,-1.423456996E0,-5.574556478E0,-1.513202108E0,5.949091558E0
