"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.432717083E-1,-7.844497342E-1,-1.549341263E0,-1.874591026E0,2.555369102E0
9.532627083E-1,-8.190876165E-1,-1.418255897E0,-1.569207909E0,2.268208054E0
9.632537083E-1,-7.352882454E-1,-8.801633189E-1,-2.041098093E0,2.341242767E0
9.732457083E-1,-6.049182867E-1,-7.256099340E-1,-1.939360633E0,2.157210137E0
9.832367083E-1,-5.225798424E-1,-8.900853860E-1,-1.946582530E0,2.203298716E0
9.932277083E-1,-4.963335916E-1,-1.029514728E0,-1.828468773E0,2.156280516E0
1.003218708E0,-4.011678180E-1,-1.185543950E0,-1.631414682E0,2.056201338E0
1.013209708E0,-1.481213745E-1,-1.292212440E0,-1.576304090E0,2.043645643E0
1.023200708E0,7.625295460E-2,-1.316929059E0,-1.783059881E0,2.217976375E0
1.033191708E0,1.031232494E-1,-1.321654194E0,-2.001737561E0,2.400907636E0
1.043183708E0,-1.311841835E-1,-1.313239466E0,-2.168776724E0,2.538779168E0
1.053174708E0,-4.564798468E-1,-1.386586500E0,-2.488101357E0,2.884726042E0
1.063165708E0,-3.885857794E-1,-1.379841445E0,-2.462837293E0,2.849654163E0
1.073156708E0,9.716011271E-2,-1.213747922E0,-2.064689854E0,2.396991510E0
1.083147708E0,7.440400654E-1,-8.496317169E-1,-1.600652481E0,1.958968616E0
1.093138708E0,9.304478386E-1,-6.300456727E-1,-1.140104726E0,1.600790279E0
1.103129708E0,7.618099000E-1,-5.667037357E-1,-9.905656940E-1,1.372125301E0
1.113121708E0,3.971627676E-1,-4.579709599E-1,-1.114914921E0,1.269059079E0
1.123112708E0,-4.804072380E-3,-3.412163159E-1,-9.806289357E-1,1.038308607E0
1.133103708E0,-1.795022115E-1,-2.790201408E-1,-6.892925853E-1,7.649820593E-1
1.143094708E0,-8.067695796E-4,-2.778485050E-1,-4.210457200E-1,5.044600489E-1
1.153085708E0,1.198959875E-1,-4.530698968E-1,-2.377138746E-1,5.255047720E-1
1.163076708E0,9.114522815E-2,-6.772976802E-1,4.951889992E-2,6.851946596E-1
1.173067708E0,1.392324373E-1,-7.509539594E-1,4.106324136E-1,8.671427217E-1
1.183059708E0,1.104502492E-1,-7.462827650E-1,1.169460087E0,1.391680322E0
1.193050708E0,-2.834633669E-1,-7.973875029E-1,2.063900480E0,2.230664363E0
1.203041708E0,-3.728048752E-1,-5.672574670E-1,1.023476747E0,1.228116102E0
1.213032708E0,-2.633264333E-2,-3.773439956E-1,2.920555580E-1,4.778894727E-1
1.223023708E0,8.991555870E-2,-4.356051408E-1,4.417571425E-2,4.469766662E-1
1.233014708E0,6.571203277E-2,-5.952871916E-1,-8.312226355E-2,6.046438806E-1
1.243005708E0,4.325784758E-2,-5.858216458E-1,-3.262535834E-1,6.719372313E-1
1.252996708E0,-9.947575629E-2,-4.896029348E-1,-6.543578106E-1,8.232803922E-1
1.262988708E0,-2.523288439E-1,-4.945389350E-1,-8.620666981E-1,1.025376807E0
1.272979708E0,-4.319334548E-1,-5.675059371E-1,-8.568094665E-1,1.114787854E0
1.282970708E0,-6.139801553E-1,-6.074413237E-1,-7.529330957E-1,1.145803142E0
1.292961708E0,-7.476101560E-1,-7.496146546E-1,-7.527173334E-1,1.299009800E0
1.302952708E0,-6.949681120E-1,-9.732028256E-1,-8.151153105E-1,1.447244757E0
1.312943708E0,-5.918775339E-1,-1.114520307E0,-6.472832644E-1,1.418256026E0
1.322934708E0,-2.572905719E-1,-1.075473697E0,-3.257279187E-1,1.152796942E0
1.332925708E0,1.564237630E-1,-8.377973910E-1,-2.793016112E-1,8.968735986E-1
1.342917708E0,-2.275162574E-1,-9.934440590E-1,-1.222752196E-1,1.026472589E0
1.352908708E0,-5.330857540E-1,-1.241956937E0,-8.737786710E-2,1.354353110E0
1.362899708E0,-6.545230675E-1,-1.383657776E0,-1.347373903E-2,1.530715790E0
1.372890708E0,-6.737786796E-1,-1.434721072E0,6.862233818E-2,1.586540667E0
1.382881708E0,-6.621128996E-1,-1.356798153E0,2.264819580E-1,1.526626607E0
1.392872708E0,-8.447633982E-1,-1.232263277E0,3.958231705E-1,1.545565904E0
1.402864708E0,-1.116930529E0,-1.071318008E0,2.688783646E-1,1.570844250E0
1.412855708E0,-1.165020881E0,-1.024069436E0,-3.811449051E-2,1.551594205E0
1.422846708E0,-9.379041349E-1,-9.609059849E-1,-5.442231649E-1,1.448855870E0
1.432837708E0,-7.343974952E-1,-8.273353335E-1,-8.598067492E-1,1.401103523E0
1.442828708E0,-6.620577896E-1,-7.795739604E-1,-1.024812836E0,1.447859601E0
1.452819708E0,-7.318022085E-1,-8.297133961E-1,-9.847693491E-1,1.481124391E0
1.462810708E0,-8.372623707E-1,-9.438240753E-1,-8.687962586E-1,1.531867847E0
1.472801708E0,-1.028001323E0,-1.149603820E0,-6.711650473E-1,1.681915035E0
1.482793708E0,-1.223691332E0,-1.365629933E0,-3.461382097E-1,1.866059284E0
1.492784708E0,-1.246676225E0,-1.426200948E0,6.836623013E-2,1.895501172E0
1.502775708E0,-1.188558556E0,-1.282273196E0,3.954010016E-1,1.792550681E0
1.512766708E0,-1.107481794E0,-1.054101174E0,5.761401916E-1,1.633885776E0
1.522757708E0,-9.974747640E-1,-8.436246530E-1,7.084065485E-1,1.486101712E0
1.532748708E0,-1.008082052E0,-5.970647817E-1,7.656847036E-1,1.399638825E0
1.542739708E0,-1.023221955E0,-4.093536276E-1,6.561189920E-1,1.282593347E0
1.552731708E0,-9.369576900E-1,-3.335579252E-1,3.823400760E-1,1.065520782E0
1.562722708E0,-8.478923164E-1,-2.800395298E-1,3.244619966E-3,8.929468327E-1
1.572713708E0,-6.994855978E-1,-1.934706250E-1,-3.964225101E-1,8.269593646E-1
1.582704708E0,-4.999890516E-1,-4.163988646E-2,-7.385115230E-1,8.928170034E-1
1.592695708E0,-2.200506421E-1,7.996728871E-2,-8.612615365E-1,8.925180595E-1
1.602686708E0,5.450445525E-2,9.763673387E-2,-7.861938125E-1,7.941060246E-1
1.612677708E0,1.601625457E-1,1.304343512E-1,-7.604590470E-1,7.880121339E-1
1.622669708E0,2.065411985E-1,1.197502091E-1,-6.455402094E-1,6.882743212E-1
1.632660708E0,-7.885240741E-2,5.303355161E-2,-4.368998605E-1,4.471149157E-1
1.642651708E0,-2.612918946E-1,3.972273063E-2,-2.674732786E-1,3.760230103E-1
1.652642708E0,5.477927439E-2,2.964444049E-1,-3.464919662E-1,4.592784959E-1
1.662633708E0,1.451509890E-1,5.073927230E-1,-5.356166482E-1,7.519317647E-1
1.672624708E0,-1.591048758E-1,4.617420851E-1,-6.318232262E-1,7.985741693E-1
1.682615708E0,-3.304997583E-1,2.624147793E-1,-6.900948232E-1,8.089020161E-1
1.692606708E0,-2.682122205E-1,1.643077100E-1,-6.920156336E-1,7.601450230E-1
1.702598708E0,-1.039251219E-1,1.532900574E-1,-6.019480473E-1,6.297933981E-1
1.712589708E0,-1.273913871E-1,7.513288390E-2,-4.694010240E-1,4.921492020E-1
1.722580708E0,-1.274227062E-1,-1.520545772E-1,-4.338113612E-1,4.770214226E-1
1.732571708E0,-2.499012262E-2,-2.746978059E-1,-4.615148842E-1,5.376610263E-1
1.742562708E0,1.665805958E-2,-3.052989898E-1,-2.132251507E-1,3.727598812E-1
1.752553708E0,9.075156435E-2,-3.596247761E-1,-1.179015023E-1,3.891870890E-1
1.762544708E0,1.650699677E-1,-2.088121109E-1,-8.872565031E-2,2.805758951E-1
1.772536708E0,2.544369113E-1,-9.955933493E-2,-3.367060661E-2,2.752887807E-1
1.782527708E0,9.666929377E-2,-1.480161978E-1,7.499697268E-2,1.920372179E-1
1.792518708E0,-1.475732529E-1,-2.381876452E-1,2.029328817E-1,3.459667235E-1
1.802509708E0,-2.744943594E-1,-3.776936226E-1,1.738225186E-1,4.982106922E-1
1.812500458E0,-3.644229647E-1,-4.510275375E-1,1.938100559E-1,6.113855367E-1
1.822491458E0,-3.309642465E-1,-2.641569206E-1,6.465289736E-1,7.728621642E-1
1.832482458E0,2.899557497E-2,3.768228260E-1,1.159695822E0,1.219725619E0
1.842474458E0,3.074349046E-1,4.553244370E-1,1.146849489E0,1.271652592E0
1.852465458E0,2.708640059E-1,-1.846264189E-1,9.800535697E-1,1.033421126E0
1.862456458E0,3.366908634E-1,-5.498039303E-1,7.369128942E-1,9.791249731E-1
1.872447458E0,3.429281614E-1,-6.635079722E-1,3.755596447E-1,8.359949759E-1
1.882438458E0,1.584632901E-1,-7.783475800E-1,1.017824829E-1,8.008091179E-1
1.892429458E0,5.425498014E-2,-8.192039761E-1,2.716388351E-1,8.647695728E-1
1.902420458E0,-9.679663517E-2,-8.789394967E-1,5.705789047E-1,1.052361399E0
1.912411458E0,-2.574132537E-1,-1.063911705E0,8.324347633E-1,1.375179019E0
1.922403458E0,-1.702152616E-1,-1.133635147E0,8.936486793E-1,1.453516372E0
1.932394458E0,-6.027172850E-2,-7.504234707E-1,4.342563343E-1,8.691068004E-1
1.942385458E0,1.108026992E-1,-5.411025790E-1,3.444062644E-1,6.509108343E-1
1.952376458E0,2.573637900E-1,-5.101460306E-1,5.551662290E-1,7.966772463E-1
1.962367458E0,3.650695936E-1,-6.623858184E-1,7.298816174E-1,1.051074667E0
1.972358458E0,2.820005032E-1,-8.127231415E-1,7.767031968E-1,1.159012961E0
1.982349458E0,3.327193980E-1,-6.107751137E-1,5.845210057E-1,9.085225608E-1
1.992341458E0,2.304120179E-1,-3.894301539E-1,4.040694988E-1,6.066446262E-1
2.002332458E0,-4.774874674E-2,-3.372501495E-1,9.454187572E-2,3.534908379E-1
2.012323458E0,-1.955425858E-2,-3.511041403E-1,-2.708944845E-1,4.438922258E-1
2.022314458E0,7.355163233E-2,-3.055368984E-1,-4.923665482E-1,5.841125377E-1
