"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.056575000E-1,2.621445941E0,-1.063122624E0,3.135845382E0,4.223237478E0
9.156975000E-1,2.463924582E0,-1.040588624E0,3.035520025E0,4.045754671E0
9.257385000E-1,2.317355644E0,-7.907277435E-1,3.027067291E0,3.893394910E0
9.357795000E-1,2.025234889E0,-2.849903673E-1,3.039165180E0,3.663239121E0
9.458195833E-1,1.497696169E0,4.665370578E-1,3.104513662E0,3.478326569E0
9.558605833E-1,9.115794584E-1,1.423428052E0,3.214925758E0,3.632199355E0
9.659015833E-1,2.325501984E-1,2.386536976E0,3.291640935E0,4.072411862E0
9.759415833E-1,-5.461416364E-1,3.240667248E0,3.380656607E0,4.714767650E0
9.859825833E-1,-1.372174868E0,3.935139297E0,3.461703694E0,5.417709628E0
9.960235833E-1,-2.288313108E0,4.374173391E0,3.458187178E0,6.027340068E0
1.006063583E0,-3.245640597E0,4.527648768E0,3.452028891E0,6.553647055E0
1.016104583E0,-3.807898329E0,4.498707390E0,3.299983742E0,6.754876058E0
1.026145583E0,-3.774797241E0,4.490407852E0,2.702302408E0,6.458737895E0
1.036185583E0,-3.587244876E0,4.569506062E0,1.914874833E0,6.116817561E0
1.046226583E0,-3.582933724E0,4.432709867E0,1.413384290E0,5.872306700E0
1.056267583E0,-3.153316570E0,4.169955876E0,1.116371462E0,5.345860327E0
1.066308583E0,-2.521422300E0,3.828971987E0,8.898374641E-1,4.670161411E0
1.076348583E0,-2.151170466E0,3.212440984E0,3.994271019E-1,3.886753588E0
1.086389583E0,-2.058476895E0,2.473666336E0,-5.976263702E-1,3.273149790E0
1.096430583E0,-1.896527732E0,1.957762406E0,-1.660836410E0,3.191869148E0
1.106470583E0,-1.708546181E0,1.733228155E0,-2.509056024E0,3.495507406E0
1.116511583E0,-1.599422227E0,1.660380034E0,-3.250029809E0,3.984684063E0
1.126552583E0,-1.653114577E0,1.506557332E0,-3.921605331E0,4.514586490E0
1.136592583E0,-1.756923120E0,1.181442786E0,-4.517375795E0,4.988914710E0
1.146633583E0,-1.778892863E0,7.925310248E-1,-5.039137466E0,5.402357971E0
1.156674583E0,-1.760090556E0,2.808821136E-1,-5.490051348E0,5.772129359E0
1.166714583E0,-1.513971309E0,-3.457055157E-1,-5.887516417E0,6.088880931E0
1.176755583E0,-1.217862754E0,-9.655413651E-1,-6.344355283E0,6.531944869E0
1.186796583E0,-7.754247031E-1,-1.599230438E0,-6.751994507E0,6.981994792E0
1.196837583E0,5.825326601E-1,-2.354508852E0,-7.510944387E0,7.892866515E0
1.206877583E0,6.713634872E-1,-3.170005401E0,-7.998692220E0,8.630106627E0
1.216918583E0,-2.956706721E-1,-4.072312052E0,-8.091746564E0,9.063526303E0
