"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.308610915E0,-1.543596387E-1,3.527429104E-1,-2.403207779E0,2.433857450E0
2.326711378E0,-2.991296649E-1,3.486830890E-1,-2.159331322E0,2.207661706E0
2.344812270E0,-3.721883893E-1,2.561799884E-1,-1.717143059E0,1.775593610E0
2.362918653E0,-4.844782948E-1,9.730356932E-2,-1.298675537E0,1.389512632E0
2.381021436E0,-5.199604034E-1,-4.258647561E-2,-1.087863922E0,1.206490921E0
2.399124097E0,-4.569672644E-1,-1.597886384E-1,-1.085604668E0,1.188650068E0
2.417227247E0,-4.039819837E-1,-2.027233392E-1,-8.551874161E-1,9.672867786E-1
2.435330030E0,-4.515731633E-1,-2.613103092E-1,-3.314733505E-1,6.181229502E-1
2.453435255E0,-4.045588970E-1,-2.970679998E-1,1.476831436E-1,5.231898399E-1
2.471536206E0,-3.068041205E-1,-1.677819788E-1,1.809644699E-1,3.937355714E-1
2.489638868E0,-3.818376064E-1,-1.123580337E-1,-1.263551712E-1,4.176001852E-1
2.507742689E0,-7.427103519E-1,-2.559241354E-1,-2.373743057E-1,8.206475437E-1
2.525843458E0,-1.209309936E0,-5.371981859E-1,-4.768753052E-2,1.324117258E0
2.543947706E0,-1.396546364E0,-7.412670851E-1,3.636579514E-1,1.622364245E0
2.562050855E0,-1.402997375E0,-1.099277020E0,8.375368118E-1,1.969334789E0
2.580141675E0,-9.790387750E-1,-1.332485557E0,1.669506073E0,2.349741520E0
2.598251295E0,-5.098695755E-1,-1.417823195E0,3.100196838E0,3.446942128E0
2.616359327E0,-2.610569000E-1,-1.452493548E0,3.883404732E0,4.154361627E0
2.634461866E0,-4.732316732E-2,-1.310099006E0,3.697344780E0,3.922876153E0
2.652563795E0,9.967505932E-3,-1.087484121E0,2.603716850E0,2.821712689E0
2.670669081E0,-8.828765154E-2,-9.235632420E-1,1.354913712E0,1.642119039E0
2.688770826E0,-2.674185932E-1,-8.337340355E-1,4.245929718E-1,9.730900974E-1
2.706873975E0,-4.293386936E-1,-9.872629046E-1,2.059326172E-1,1.096096711E0
2.724971938E0,-6.903325319E-1,-1.313783169E0,7.266616821E-1,1.652459506E0
2.743079786E0,-9.072574377E-1,-1.664010048E0,1.190596581E0,2.238205914E0
2.761182325E0,-9.407969713E-1,-1.773460031E0,1.017613411E0,2.250732431E0
2.779281324E0,-9.709380865E-1,-1.762081742E0,7.948398590E-2,2.013447426E0
2.797386366E0,-1.176354289E0,-1.715842366E0,-9.114637375E-1,2.271275101E0
2.815492995E0,-1.229338408E0,-1.666421175E0,-1.480747223E0,2.545750339E0
2.833593946E0,-1.058058262E0,-1.614664078E0,-1.625314713E0,2.523544191E0
2.851695753E0,-8.461527824E-1,-1.594512582E0,-1.561141014E0,2.386546914E0
2.869801283E0,-6.677350402E-1,-1.461323023E0,-1.514012337E0,2.207616003E0
2.887902784E0,-6.595559716E-1,-1.305811167E0,-1.826589584E0,2.340210758E0
2.906005873E0,-7.445060611E-1,-1.168378353E0,-2.425296783E0,2.793109690E0
2.924091078E0,-8.032131791E-1,-1.039499164E0,-2.611262321E0,2.923080709E0
2.942211866E0,-7.108781934E-1,-9.618951082E-1,-2.213391304E0,2.515887730E0
2.960313733E0,-4.983313680E-1,-8.499225974E-1,-1.748873711E0,2.007302127E0
2.978418959E0,-3.596375585E-1,-7.281552553E-1,-1.550923347E0,1.750689144E0
2.996520400E0,-2.708426416E-1,-6.122577190E-1,-1.535563469E0,1.675162803E0
3.014623061E0,-2.218289673E-2,-5.380077362E-1,-1.437912941E0,1.535427638E0
3.032726332E0,4.506445527E-1,-5.115833282E-1,-1.069231033E0,1.268090303E0
3.050829297E0,8.371151686E-1,-4.172449112E-1,-6.130075455E-1,1.118317206E0
3.068932143E0,8.115769029E-1,-5.832071304E-1,-3.933763504E-1,1.074026340E0
3.087034864E0,4.987390041E-1,-9.651470780E-1,7.045087814E-1,1.294828985E0
3.105133130E0,2.346416116E-1,-1.459189415E0,2.890954018E0,3.246830080E0
3.123240674E0,-6.911292672E-3,-1.693077683E0,4.617203712E0,4.917837933E0
3.141340406E0,-4.607520103E-1,-1.762307048E0,4.057784081E0,4.447879291E0
3.159450147E0,-9.400539398E-1,-1.491796494E0,2.013243675E0,2.676248920E0
3.177542006E0,-1.183320045E0,-8.704003096E-1,1.028242111E-1,1.472554192E0
3.195640821E0,-1.492160201E0,-4.825025201E-1,-1.110011101E0,1.921321262E0
3.213743788E0,-1.748785257E0,-3.431267142E-1,-1.109768867E0,2.099422006E0
3.231849805E0,-1.919634581E0,-4.766200781E-1,-4.618692398E-1,2.031129444E0
3.249964368E0,-2.409430504E0,-1.056205511E0,-2.227478027E-1,2.640178406E0
3.268054029E0,-2.421845198E0,-1.936503291E0,8.387298584E-1,3.212296209E0
3.286166944E0,-1.609089136E0,-2.513660192E0,3.042282104E0,4.261823062E0
3.304269971E0,-7.263609767E-1,-2.284858942E0,4.506227493E0,5.104338045E0
3.322373061E0,-1.073618054E0,-1.839013696E0,4.380703926E0,4.870851464E0
3.340475294E0,-1.888029814E0,-1.434611320E0,2.180662155E0,3.221498666E0
3.358578871E0,-2.451232672E0,-1.028514981E0,-5.380582809E-1,2.712174661E0
3.376681410E0,-2.697799444E0,-8.172799349E-1,-2.196750641E0,3.573762962E0
3.394780654E0,-2.691621304E0,-9.171359539E-1,-2.386372566E0,3.712241590E0
3.412887465E0,-2.462618351E0,-1.118097663E0,-1.636365891E0,3.161063880E0
3.430990552E0,-2.030715942E0,-1.167800188E0,-8.353338242E-1,2.487035809E0
3.449090346E0,-1.586582661E0,-1.080894351E0,-5.083541870E-1,1.985950935E0
3.467196423E0,-1.264382958E0,-9.437618256E-1,-7.548685074E-1,1.749050346E0
3.485298476E0,-1.021033168E0,-7.273131013E-1,-1.218114853E0,1.747940752E0
3.503402783E0,-8.730009794E-1,-5.116612911E-1,-1.861566067E0,2.118810092E0
3.521505019E0,-8.570001721E-1,-2.587167919E-1,-2.340625286E0,2.505974941E0
3.539607680E0,-1.071493506E0,-1.016279161E-1,-2.521368980E0,2.741482829E0
3.557695326E0,-1.327581406E0,1.459899545E-2,-2.447356224E0,2.784284110E0
3.575813672E0,-1.451358795E0,8.748719096E-2,-2.432789803E0,2.834177585E0
3.593916700E0,-1.390430450E0,1.485248804E-1,-2.376060963E0,2.756995135E0
3.612006604E0,-1.301392198E0,1.269629300E-1,-2.322679520E0,2.665442063E0
3.630123732E0,-1.212589502E0,5.351665616E-2,-2.062825203E0,2.393425401E0
3.648225416E0,-1.043011785E0,3.239975870E-2,-1.536115646E0,1.857033819E0
3.666328261E0,-7.779977322E-1,-9.811617434E-3,-8.908987045E-1,1.182825955E0
3.684431410E0,-4.720054567E-1,-8.260945231E-2,4.602146149E-2,4.813849267E-1
3.702534193E0,-2.448975146E-1,-4.218224436E-2,1.013147354E0,1.043178650E0
3.720636915E0,-2.242707014E-1,4.612909257E-2,1.211256981E0,1.232707879E0
3.738740248E0,-3.687990904E-1,2.753488719E-2,8.998823166E-1,9.729127005E-1
3.756843031E0,-8.218550682E-1,-1.455794722E-1,9.561958313E-1,1.269231895E0
3.774945693E0,-1.325033665E0,-3.450055718E-1,1.628289223E0,2.127455957E0
3.793046950E0,-1.719184875E0,-7.540199161E-1,2.577373505E0,3.188572855E0
3.811152419E0,-1.751986742E0,-1.149292707E0,3.603873253E0,4.168720870E0
3.829255384E0,-1.752854109E0,-1.393943667E0,4.467180252E0,4.997126762E0
3.847357802E0,-1.762520671E0,-1.505855918E0,3.774564743E0,4.429607224E0
3.865460341E0,-1.650890231E0,-1.510445952E0,2.874062538E0,3.642405936E0
3.883563490E0,-1.240072846E0,-1.342136979E0,2.388081551E0,3.006999472E0
