max,min,ptp,mean,median,var,skew,kurt,rms,zero
302.0291818,-42.00035824,344.02954004000003,28.408367330387684,2.1727802975,"0    6559.514953
1      51.086231
2      14.916981
3      54.592806
4      56.437953
dtype: float64",[ 0.19475726  1.99924707 -1.58383807 -0.72192764  2.17133235],[-0.93826922 11.30966149  9.02622587  5.46374661  6.81292594],70.4761554713196,1.92
304.7590593,-23.9,328.65905929999997,30.38774008867822,2.3575300785,"0    6749.094283
1      42.478584
2      11.534973
3      57.013524
4      50.741703
dtype: float64",[0.05510555 3.05390749 0.32681632 1.0473123  3.05043828],[-1.01896615 23.03397568  4.5731236   6.30349677 14.96239513],74.76780135862543,2.08
301.7465571,-35.62810005,337.37465715,31.229724255766474,2.230695998,"0    6555.142395
1      84.862528
2      18.040834
3      60.943794
4      93.620062
dtype: float64",[0.05918489 3.12450864 1.75477347 1.58640741 3.17347197],[-1.06432426 20.82371714 12.97507328  5.27832452 14.0574479 ],75.34123707292729,2.048
300.5990718,-20.6,321.1990718,28.514760576927547,2.1249015570000003,"0    6946.178834
1      52.206110
2      33.526533
3      56.087298
4      83.487757
dtype: float64",[0.2084971  4.63280561 6.50062545 1.24899488 4.54384435],[-1.0404366  36.97402804 63.35643438  5.53513405 29.97576502],71.04108852380652,1.984
301.5858901,-40.69201334,342.27790344,31.10746585824953,2.753762642,"0    6676.881423
1      63.993872
2      17.121923
3      68.034367
4      78.521904
dtype: float64",[0.03506953 2.02161768 2.74216057 1.56961936 3.35584538],[-1.078309   23.31132214 24.37154829  5.44274857 18.04594053],74.86527815060846,1.912
303.363266,-31.80961095,335.17287695,30.8926137172568,2.370580115,"0    7468.024692
1      63.903789
2      14.128418
3      62.511058
4      67.845746
dtype: float64",[0.06796551 3.23407059 1.21444548 0.53052938 3.08477633],[-1.12527937 17.05882851  9.94801568  3.72081462 14.36359229],76.04223236606147,2.048
302.4394322,-20.2,322.6394322,29.634134985797665,2.555678745,"0    7267.875194
1      82.836161
2      17.953039
3      70.737179
4      89.602743
dtype: float64",[0.09636403 3.49887521 1.48997462 1.43759788 3.33321924],[-1.10116381 19.31831742  8.24116795  6.73002804 16.11363767],72.9487849072713,1.968
304.186684,-27.01823404,331.20491804,30.02663113841112,2.5373531094999997,"0    6791.850128
1      39.003266
2      10.026660
3      65.641878
4      51.106355
dtype: float64",[ 0.08493197  1.49273107 -0.58461186  0.90546134  1.9883643 ],[-1.17369969 12.87859244  2.46696486  2.76156451  5.28631057],73.57251523291127,1.928
304.6686843,-44.63641404,349.30509834,28.11662058247605,2.5325253764999998,"0    6493.061335
1     108.236549
2      26.067179
3      59.653580
4     112.017238
dtype: float64",[0.25365387 3.10420035 4.08902074 1.72762323 3.90175558],[-0.95391959 19.00078242 39.88619553  8.46729891 20.32087231],68.66444226828716,1.952
303.905517,-26.36790672,330.27342372,28.88154653356075,2.1806084070000002,"0    7591.606080
1      43.325428
2      28.664840
3      60.371867
4      60.625992
dtype: float64",[0.22435489 0.98191532 6.71849557 0.63728856 2.49907808],[-1.09674568  5.42589204 77.37926452  3.3620775  11.63530707],72.72566798693758,2.04
304.4176423,-61.61688266,366.03452496,29.37917353595515,2.464020863,"0    7125.398133
1      39.694313
2      15.825293
3      71.396186
4      62.685509
dtype: float64",[ 0.15891662  2.20633681 -0.46510058 -0.04999261  4.14612974],[-1.16799754 13.80948204  7.21205011 16.54734365 24.71735551],73.13778795302159,2.064
303.74485,-41.12241518,344.86726518,30.18514904302499,2.1198235815,"0    7568.470440
1      47.166261
2      13.289914
3      64.548338
4      61.122773
dtype: float64",[ 0.07096688  0.95130846 -1.4781114   1.9252362   2.61870938],[-1.22435789 14.36221969  8.93136853  8.94629562  9.11376152],75.23395277237513,1.984
302.1683071,-31.29161547,333.45992257,30.99984491365403,2.6695382665,"0    6610.346965
1      52.658211
2      15.356580
3      48.964935
4      50.395822
dtype: float64",[ 0.01259032  1.44816209 -0.76271801  0.22609897  2.10264498],[-1.00729833  9.24185181  5.89494276  2.90164538  6.50468198],75.15344151327893,2.024
302.9816832,-31.9649551,334.9466383,31.28722160061099,1.9699181895,"0    6108.307871
1      40.443869
2      18.113798
3      64.617142
4      60.761583
dtype: float64",[-0.09195765  0.96239978 -1.50652258  2.20975222  3.58337731],[-0.92375072  4.59414751 16.53507915 20.25009819 22.61721132],75.95453871454868,2.024
304.5983923,-50.22915419,354.82754649000003,30.956119036921933,2.483483037,"0    7276.233629
1      88.171929
2      24.534360
3      59.721239
4      98.657601
dtype: float64",[0.10075314 3.4951494  3.08017884 0.13885586 4.56762836],[-1.11405876 25.20827554 22.64062417 13.06378598 27.97850761],75.92242767610023,1.952
303.473725,-67.95423532,371.42796032,29.61886299400328,2.9255482685,"0    6787.000579
1     104.122802
2      16.567522
3      83.052831
4     104.557903
dtype: float64",[ 0.21784618  1.17331477 -0.37165362  0.01980043  2.78079566],[-1.0038466  17.20576739  5.46866283  4.33586351 10.34919739],72.2231037978707,2.008
303.242766,-52.57895837,355.82172437,30.28973272580616,2.4874917065,"0    7230.411687
1      62.208107
2      16.486231
3      65.981291
4      74.202119
dtype: float64",[ 0.14273679  0.99274276 -0.20475399  0.26342593  2.86270328],[-1.15124271 14.24211114  6.91161288 10.9821832  10.28205189],74.57524274234044,2.064
