max,min,ptp,mean,median,var,skew,kurt,rms,zero,Label
36.23881599,-21.06424823,57.30306422,0.051266847,-6.322429979,"0    228.853134
dtype: float64",[0.75916045],[-0.71216536],15.12797945,0,Jump
36.27808122,-31.88085576,68.15893698,0.992124564,0.65864276,"0    113.436178
dtype: float64",[0.2157586],[-0.29679328],10.69675135,0,Jump
36.31541452,-54.1830648,90.49847932,-0.036628215,-0.432397504,"0    117.208339
dtype: float64",[0.35180326],[2.37726724],10.82634196,0,Jump
36.50935965,-15.55506012,52.06441977,-0.077084571,-3.561707162,"0    123.816149
dtype: float64",[0.85942058],[-0.1562308],11.12753752,0,Jump
36.62803941,-15.93738148,52.56542089,0.276851224,-4.220787184,"0    145.780283
dtype: float64",[1.03860518],[0.16913928],12.07712424,0,Jump
36.76073846,-20.14613948,56.90687794,-0.575312807,-0.520750395,"0    98.063033
dtype: float64",[0.93425275],[2.10056682],9.919375874,0,Jump
36.84024189,-18.37828295,55.21852484,0.065365012,-0.751173961,"0    105.76119
dtype: float64",[1.06551251],[1.68433176],10.28423368,0,Jump
37.28857364,-37.21004787,74.49862151,0.890407482,0.623582453,"0    49.595059
dtype: float64",[-0.44520647],[6.79730139],7.098442415,0,Jump
37.38030008,-78.384246,115.7645461,-0.308312118,-1.129238918,"0    159.443457
dtype: float64",[-0.49222795],[6.1648635],12.63085561,0,Jump
37.42538211,-19.75032274,57.17570485,-0.233821672,-5.984574058,"0    198.85184
dtype: float64",[0.86574347],[-0.40969445],14.10342202,0,Jump
37.80404312,-18.55017588,56.354219,-0.687003971,-0.723865125,"0    92.053425
dtype: float64",[1.27735585],[2.96150804],9.619012382,0,Jump
37.93209013,-35.24401516,73.17610529,1.951844763,1.672927429,"0    58.613709
dtype: float64",[0.91673946],[5.17295409],7.900848476,0,Jump
38.2335866,-69.21653691,107.4501235,1.026962587,1.117744389,"0    128.908041
dtype: float64",[-0.69914568],[6.47337767],11.40011813,0,Jump
38.40044742,-38.13831908,76.5387665,0.216337885,0.940741862,"0    53.059228
dtype: float64",[-1.09596048],[7.2989455],7.287388408,0,Jump
38.47924918,-18.93080039,57.41004957,-0.162231781,-5.662174374,"0    223.804938
dtype: float64",[0.82692006],[-0.48064642],14.96099117,0,Jump
